SALMO,COMPOSITOR,HARMONIZAÇÃO,METRIFICAÇÃO,MODO,MÉTRICA,ORIGEM/MELODIA,TIPO,VÍDEO
1A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2009",Jônio,10 10. 11 11. 10 10,"Saltério de Genebra, 1539",Genebrino,https://youtu.be/0F2eePmWhHU?feature=shared
1B,"Thomas A. Arne, 1762","Ralph Harrison, 1782","Comissão Brasileira de Salmodia, 2009",,8. 7. 8. 6,Arlington,Melodia harmônica,https://youtu.be/e4afkhYXUZ4?feature=shared
2B,"Jakob Hintze, 1678",,"Comissão Brasileira de Salmodia, 2009",,7. 7. 7. 7. 7. 7. 7. 7,Salzburg,Melodia harmônica,https://youtu.be/3PX6K7Cvlt4?feature=shared
2A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2009",Dórico,10 11. 10 11. 11 10. 11. 10,"Saltério de Genebra, 1539",Genebrino,https://youtu.be/RJPj9uVxwWI?feature=shared
3B,"Virginia Harmony, 1831",,"Comissão Brasileira de Salmodia, 2010",,9. 7. 10. 6,New Britain,Melodia harmônica,https://youtu.be/EYrTm8j6Z6k?feature=shared
3A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2009",Jônio,6 6 7. 6 6 7. 6 6 7. 6 6 7,"Saltério de Genebra, 1539",Genebrino,https://youtu.be/7RyodEsQ9PU?feature=shared
4B,"Spencer Lane, 1913",,"Comissão Brasileira de Salmodia, 2009",,11. 11. 11. 11,Penitence,Melodia harmônica,https://youtu.be/KQFgvkAV9qI?feature=shared
5B,"Joseph Parry, 1879",,"Comissão Brasileira de Salmodia, 2016 (rev. 2023)",,7 7. 7 7. 7 7. 7 7,Aberystwyth,Melodia harmônica,
5A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2009 (rev. 2023)",Dórico,9. 8 8. 8 5,"Saltério de Genebra, 1542",Genebrino,https://youtu.be/r5vr_OwNMvk?feature=shared
6B,"John Bacchus Dykes, 1861",,"Comissão Brasileira de Salmodia, 2009",,8. 8. 8. 8. 8. 8,Melita,Melodia harmônica,https://youtu.be/LYcfmgPTr84?feature=shared
7B,"Richard Storrs Willis, 1850",,"Comissão Brasileira de Salmodia, 2019 (rev. 2022)",,8 6. 8 6. 8 6. 8 6,Carol,Melodia harmônica,https://youtu.be/vrS3B8BGMhU?feature=shared
7A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2009 (rev. 2022)",Hipodórico,9 9. 8 8. 9 9. 8 8,"Saltério de Genebra, 1542",Genebrino,
8B,"Foundery Collection, 1742",,Comissão Brasileira de Salmodia (rev. 2022),,8 6. 8 6. 8 10. 8 7,Amsterdam,Melodia harmônica,https://youtu.be/NXvpnzZ6QiI?si=wGYOrETCOgove2Wg
9B,Melodia tradicional galesa,,"Comissão Brasileira de Salmodia, 2010",,11. 11. 11. 11,Joanna,Melodia harmônica,
10B,"Horatio Richmond Palmer, 1874",,"Comissão Brasileira de Salmodia, 2011",,8. 7. 9. 7. 8. 6. 9. 7. 13. 9. 11. 10. 10. 9. 6. 13,"Peace, be still",Melodia harmônica,https://youtu.be/PeEVi449hPE?feature=shared
11B,"Franklin L. Sheppard, 1915",,Comissão Brasileira de Salmodia,,6. 6. 8. 6,Terra Beata,Melodia harmônica,https://youtu.be/b3zcoChTXts?feature=shared
12B,"John Ambrose Lloyd, 1870",,"Comissão Brasileira de Salmodia, 2024",,7 6. 7 6. 7 6. 7 6,Whitford,Melodia harmônica,
12A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2020",Dórico,11 10. 11 10,"Saltério de Genebra, 1542",Genebrino,https://youtu.be/-BgV_UfnZ8w?feature=shared
13B,"Franz Schubert, 1816",,"Comissão Brasileira de Salmodia, 2014",,11. 11. 11. 11,"Heilig, heilig, heilig",Melodia harmônica,https://youtu.be/AM_UyjWHnqM?si=50R3thj40YtbgLmQ
13A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2010",Dórico,8 8. 9 9 8,"Saltério de Genebra, 1542",Genebrino,https://youtu.be/Ang_faN6lAY?feature=shared
14B,"George Job Elvey, 1868",,"Comissão Brasileira de Salmodia, 2023",,6 6. 8 6. 6 6. 8 6,Diademata,Melodia harmônica,
14A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2020",Dórico,10 11. 11 10. 4,"Saltério de Genebra, 1542",Genebrino,https://youtu.be/PLIpHA7cXWs?feature=shared
15B,"Robert Lowry, 1871",,"Comissão Brasileira de Salmodia, 2010",,6 4. 6 4. 6 6. 6 4,Something for Jesus,Melodia harmônica,https://youtu.be/-Hnl0Pbv5y8?feature=shared
15A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2010",Mixolídico,8 9. 8 8 9,"Saltério de Genebra, 1539",Genebrino,https://youtu.be/CCO0eq5WlMk?feature=shared
